namahotel,deskripsi
Arjuna Garden Homestay - Hostel,property located near palace yogyakarta hostel feature outdoor pool barlounge dry cleaning free wifi public area free self parking provided amenity include laundry facility 24 hour front desk tourticket assistance room offer free wifi shower advantage recreation opportunity outdoor pool view terrace garden additional amenity hostel include complimentary wireless internet access tourticket assistance barbecue grill featured amenity include dry cleaninglaundry service 24 hour front desk luggage storage free self parking available onsite planning arrive 11 30 pm contact property advance using information booking confirmation home one 5 guestroom complimentary wireless internet access available keep connected bathroom shower provided quench thirst favorite drink barlounge nearby attraction masjid jogokariyan 0 5 km 0 3 mi lana gallery 0 5 km 0 3 mi batik plentong 0 7 km 0 4 mi kampoeng cyber 2 3 km 1 4 mi gumuling well 2 3 km 1 4 mi alun alun kidul 2 5 km 1 6 mi sasono hinggil 2 7 km 1 7 mi taman pintar science park 2 7 km 1 7 mi water castle tamansari 2 7 km 1 7 mi malioboro street 2 8 km 1 8 mi sonobudoyo museum 2 9 km 1 8 mi kraton complex 2 9 km 1 8 mi museum kereta kraton 3 km 1 9 mi senopati 3 km 1 9 mi fort vredeburg museum 3 1 km 1 9 mi nearest major airport yogyakarta jog adisucipto intl 12 4 km 7 7 mi
Arjuna Hotel Jogja,arjuna hotel yogyakarta three star hotel located tourist area malioboro business district yogyakarta perfectly designed combination modern classical javanese nuance wide range facility available hotel ideal holiday retreat hotel arjuna yogyakarta 72 room room tastefully decorated modern convenience traveller would require hotel provides well appointed meeting room cater business private function meeting room free internet access luggage storage self parking facility air conditioned guestroom equipped flat screen tv desk en suite bathroom come hot water shower srikandi coffee shop taman sari pool bar serve indonesian local dish room dining possible room service complete list recreational facility available hotel including outdoor pool massage spa pool kid hotel provides best service amenity lodging wonderful property guest enjoy safety deposit box newspaper smoking area car park business center
Arkananta Villa - Hostel,property located near malioboro street smoke free hostel feature coffeetea common area 24 hour front desk free self parking wifi public area free 8 room offer free wifi lcd tv satellite channel free bottled water featured amenity include 24 hour front desk coffeetea common area free self parking available onsite home one 8 air conditioned room featuring lcd television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower provided convenience include complimentary bottled water housekeeping provided per stay nearby attraction batik plentong 0 1 km 0 1 mi masjid jogokariyan 0 7 km 0 4 mi lana gallery 1 km 0 6 mi alun alun kidul 1 1 km 0 7 mi sasono hinggil 1 3 km 0 8 mi water castle tamansari 1 8 km 1 1 mi gumuling well 1 8 km 1 1 mi kampoeng cyber 1 9 km 1 2 mi taman pintar science park 2 5 km 1 5 mi kraton complex 2 5 km 1 5 mi museum kereta kraton 2 5 km 1 6 mi sonobudoyo museum 2 6 km 1 6 mi palace yogyakarta 2 6 km 1 6 mi malioboro street 2 7 km 1 7 mi senopati 2 8 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 12 5 km 7 8 mi
ARTOTEL Yogyakarta,property located near gadjah mada university hotel feature restaurant outdoor pool barlounge free wifi public area free valet parking provided amenity include coffee shopcaf spa service 24 hour room service 105 room provide convenience like refrigerator coffee r plus free wifi lcd tv cable channel guest find 24 hour room service minibar premium bedding advantage recreation opportunity outdoor pool amenity including complimentary wireless internet access concierge service featured amenity include business center express check complimentary newspaper lobby roundtrip airport shuttle provided surcharge available request free valet parking available onsite airport shuttle service available request 9 am 6 pm fee apply contact property advance arrangement home one 105 air conditioned room featuring refrigerator lcd television complimentary wireless internet access keep connected cable programming available entertainment bathroom complimentary toiletry slipper convenience include laptop compatible safe desk housekeeping provided daily enjoy meal restaurant snack coffee shopcaf hotel offer 24 hour room service wrap day drink barlounge buffet breakfast served weekday 6 am 10 am weekend 6 am 11 am fee nearby attraction yogya kembali monument 1 9 km 1 2 mi gadjah mada university 2 2 km 1 4 mi hartono mall 2 3 km 1 4 mi yogyakarta state university 2 6 km 1 6 mi jogja city mall 3 3 km 2 mi galeria mall 3 4 km 2 1 mi yogyakarta monument 3 7 km 2 3 mi siloam hospital yogyakarta 3 9 km 2 4 mi malioboro street 4 1 km 2 6 mi lippo plaza jogja 4 2 km 2 6 mi kota gede 4 5 km 2 8 mi sunan kalijaga state islamic university yogyakarta 4 6 km 2 9 mi affandi museum 4 6 km 2 9 mi batik museum 4 9 km 3 mi malioboro mall 4 9 km 3 mi nearest airport yogyakarta jog adisucipto intl 9 2 km 5 7 mi surakarta soc adisumarmo intl 61 2 km 38 1 mi preferred airport artotel yogyakarta yogyakarta jog adisucipto intl
Aryuka Hotel,property located near gadjah mada university restaurant business center meeting room available hotel free wifi public area free self parking free airport pick provided additionally concierge service dry cleaning laundry facility onsite 24 room boast fireplace offer free wifi sitting area free wired internet room service standard led tv cable channel view terrace garden use amenity complimentary wireless internet access additional feature hotel include concierge service babysittingchildcare guest catch ride nearby destination complimentary area shuttle featured amenity include business center express check complimentary newspaper lobby shuttle airport hotel complimentary available request airport shuttle service available request limited hour fee apply contact property advance arrangement home one 24 air conditioned room featuring fireplace led television complimentary wired wireless internet access keep connected cable programming provides entertainment convenience include safe desk housekeeping provided daily enjoy meal restaurant stay advantage hotel room service limited hour buffet breakfast available fee nearby attraction yogya kembali monument 1 9 km 1 2 mi hartono mall2 3 km 1 4 mi gadjah mada university 2 3 km 1 4 mi yogyakarta state university 2 7 km 1 7 mi jogja city mall 3 2 km 2 mi galeria mall 3 5 km 2 2 mi malioboro street 3 7 km 2 3 mi yogyakarta monument 3 8 km 2 4 mi siloam hospital yogyakarta 4 km 2 5 mi lippo plaza jogja 4 2 km 2 6 mi kota gede 4 6 km 2 9 mi sunan kalijaga state islamic university yogyakarta 4 6 km 2 9 mi affandi museum 4 6 km 2 9 mi batik museum 4 9 km 3 1 mi malioboro mall 5 km 3 1 mi nearest airport yogyakarta jog adisucipto intl 9 1 km 5 6 mi surakarta soc adisumarmo intl 61 2 km 38 mi preferred airport aryuka hotel yogyakarta jog adisucipto intl
Asana Grove Hotel Yogyakarta,grove express hotel offer hip convenient minimalist personalized accommodation stylish yet thrifty traveler 24 hour reception friendly helpful staff absolute best price stay fresh clean room interior hotel offer 40 room twin double bed self air conditioned room free wi fi lcd tv room cable tv shower hot cold water available keep refreshed daily housekeeping service available hotel restaurant serf buffet la carte set menu dish breakfast lunch dinner caf lounge available serving light meal refreshing beverage
Astuti Gallery Homestay,property located bangunjiwo nearby attraction umy 6 4 km 4 mi masjid jogokariyan 8 1 km 5 mi kampoeng cyber 8 8 km 5 5 mi gumuling well 9 km 5 6 mi batik plentong 9 3 km 5 8 mi sasono hinggil 9 4 km 5 9 mi water castle tamansari 9 9 km 6 1 mi lana gallery 10 km 6 2 mi alun alun kidul 10 4 km 6 4 mi museum kereta kraton 11 km 6 9 mi malioboro street 11 1 km 6 9 mi sonobudoyo museum 11 3 km 7 mi history museum antiquity pleret 11 4 km 7 1 mi taman pintar science park 11 5 km 7 1 mi kraton complex 11 6 km 7 2 mi nearest major airport yogyakarta jog adisucipto intl 21 6 km 13 4 mi
At K,k hotel perfect blend luxury natural beauty mount merapi one best tourist destination k hotel pamper best hotel facility enjoy charm mount merapi view city yogyakarta stay u experience incredible view k hotel kaliurang superior suite area 25 square meter equipped queen bed double bed air conditioning hot water various selection tv channel well variant room service menu complement comfort stay deluxe area 30 square meter equipped twin bed king bed double bed air conditioner hot water various selection tv channel well variant room service menu complement comfort stay deluxe room present breathtaking view yogyakarta city light night tranquil view plawangan hill balcony executive suite area 35 square meter equipped two double bed air conditioning hot water mini pantry sofa various selection tv channel variant room service menu complement comfort spacious junior suite room feature view plawangan park hill enjoyed balcony room junior suite area 30 square meter equipped double bed air conditioning hot water mini pantry various selection tv channel variant room service menu complement comfort spacious executive suite room silent room brings tranquility k hotel promise unforgettable culinary experience serve culinary experience selected restaurant sri manganti restaurant nirmala terrace amartha pool bar rooftop swimming pool available guest use surrounded enticing natural landscape yogyakarta child 12 year old must supervised adult poolside bar
Athaya Guest House,property located near gadjah mada university along 24 hour room service smoke free guesthouse laundry facility 24 hour front desk free breakfast local cuisine free wifi public area free self parking provided amenity include free newspaper 20 room offer free wifi 24 hour room service lcd tv cable channel guest find shower desk featured amenity include complimentary newspaper lobby 24 hour front desk laundry facility free self parking available onsite property offer hour check guest arriving late able check next morning home one 20 air conditioned room featuring lcd television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower provided convenience include desk housekeeping provided daily advantage guesthouse 24 hour room service complimentary local cuisine breakfast served daily 7 am 10 am nearby attraction gadjah mada university 1 7 km 1 mi yogyakarta state university 2 1 km 1 3 mi hartono mall 2 3 km 1 4 mi yogya kembali monument 2 4 km 1 5 mi galeria mall 2 8 km 1 8 mi siloam hospital yogyakarta 3 1 km 2 mi lippo plaza jogja 3 4 km 2 1 mi malioboro street 3 7 km 2 3 mi yogyakarta monument 3 8 km 2 4 mi sunan kalijaga state islamic university yogyakarta 3 8 km 2 4 mi affandi museum 3 8 km 2 4 mi jogja city mall 3 9 km 2 4 mi kota gede 4 km 2 5 mi batik museum 4 3 km 2 7 mi plaza ambarrukmo 4 3 km 2 7 mi nearest airport yogyakarta jog adisucipto intl 9 1 km 5 7 mi surakarta soc adisumarmo intl 61 2 km 38 mi
Athaya Homestay Yogyakarta,property located near gadjah mada university smoke free villa feature free self parking villa offer free bottled water portable fan shower desk free toiletry available guest bathroom shared front desk staffed limited hour free self parking available onsite front desk open daily 8 00 am 10 00 pm property offer hour check guest arriving late able check next morning bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily nearby attraction yogya kembali monument 2 km 1 3 mi hartono mall 2 1 km 1 3 mi gadjah mada university 2 9 km 1 8 mi yogyakarta state university 3 3 km 2 1 mi jogja city mall 3 4 km 2 1 mi galeria mall 4 1 km 2 5 mi malioboro street 4 3 km 2 7 mi yogyakarta monument 4 4 km 2 7 mi siloam hospital yogyakarta 4 4 km 2 8 mi lippo plaza jogja 4 7 km 2 9 mi sunan kalijaga state islamic university yogyakarta 5 3 km 3 3 mi jogja bay 5 4 km 3 3 mi affandi museum 5 6 km 3 5 mi kota gede 5 7 km 3 6 mi maguwoharjo stadium 5 8 km 3 6 mi nearest airport yogyakarta jog adisucipto intl 8 5 km 5 3 mi surakarta soc adisumarmo intl 60 8 km 37 8 mi preferred airport athaya homestay yogyakarta yogyakarta jog adisucipto intl
